S.No.,Date,User ID,User Name,Approval ID,Approval Status,Book ID,Book Name,Author Name,Feedback Rating,Feedback Text
1,2024-07-26,2,John Doe,1,0,1,The Great Gatsby,F. Scott Fitzgerald,,
2,2024-07-26,3,Jane Smith,2,0,3,A Brief History of Time,Stephen Hawking,,
3,2024-07-26,4,Michael Brown,3,0,3,A Brief History of Time,Stephen Hawking,5,wow
4,2024-07-26,4,Michael Brown,4,0,3,A Brief History of Time,Stephen Hawking,5,wow
5,2024-07-26,5,Emily Davis,5,0,5,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4,wonderful 
6,2024-07-26,6,David Wilson,7,1,1,The Great Gatsby,F. Scott Fitzgerald,,
7,2024-07-26,6,David Wilson,8,1,2,Sapiens,Yuval Noah Harari,1,definitely bad one
8,2024-07-26,6,David Wilson,9,1,3,A Brief History of Time,Stephen Hawking,5,nice
9,2024-07-26,6,David Wilson,6,1,4,1776,David McCullough,5,i wanted this so badly and got now
10,2024-07-26,6,David Wilson,10,1,4,1776,David McCullough,5,i wanted this so badly and got now
